"Title","Description","BiocVersion","Genome","SourceType","SourceUrl","SourceVersion","Species","TaxonomyId","Coordinate_1_based","DataProvider","Maintainer","RDataClass","DispatchClass","RDataPath","Tags","ResourceName"
"annofuns_GO_hsa.rda","Annotations from pathways to GO terms for HSA species",3.7,NA,"RData","https://www.ensembl.org/biomart",NA,"Homo sapiens",NA,NA,"BioMart","Marta R. Hidalgo marta.hidalgo@outlook.es","data.frame","Rda","hpAnnot/v1/annofuns_GO_hsa.rda","pathways, HiPathia, hpAnnot, Signaling, Annotation","annofuns_GO_hsa.rda"
"annofuns_GO_mmu.rda","Annotations from pathways to GO terms for MMU species",3.7,NA,"RData","https://www.ensembl.org/biomart",NA,"Mus musculus",NA,NA,"BioMart","Marta R. Hidalgo marta.hidalgo@outlook.es","data.frame","Rda","hpAnnot/v1/annofuns_GO_mmu.rda","pathways, HiPathia, hpAnnot, Signaling, Annotation","annofuns_GO_mmu.rda"
"annofuns_GO_rno.rda","Annotations from pathways to GO terms for RNO species",3.7,NA,"RData","https://www.ensembl.org/biomart",NA,"Rattus norvegicus",NA,NA,"BioMart","Marta R. Hidalgo marta.hidalgo@outlook.es","data.frame","Rda","hpAnnot/v1/annofuns_GO_rno.rda","pathways, HiPathia, hpAnnot, Signaling, Annotation","annofuns_GO_rno.rda"
"annofuns_uniprot_hsa.rda","Annotations from pathways to Uniprot keywords for HSA species",3.7,NA,"RData","https://www.ensembl.org/biomart",NA,"Homo sapiens",NA,NA,"BioMart","Marta R. Hidalgo marta.hidalgo@outlook.es","data.frame","Rda","hpAnnot/v1/annofuns_uniprot_hsa.rda","pathways, HiPathia, hpAnnot, Signaling, Annotation","annofuns_uniprot_hsa.rda"
"annofuns_uniprot_mmu.rda","Annotations from pathways to Uniprot keywords for MMU species",3.7,NA,"RData","https://www.ensembl.org/biomart",NA,"Mus musculus",NA,NA,"BioMart","Marta R. Hidalgo marta.hidalgo@outlook.es","data.frame","Rda","hpAnnot/v1/annofuns_uniprot_mmu.rda","pathways, HiPathia, hpAnnot, Signaling, Annotation","annofuns_uniprot_mmu.rda"
"annofuns_uniprot_rno.rda","Annotations from pathways to Uniprot keywords for RNO species",3.7,NA,"RData","https://www.ensembl.org/biomart",NA,"Rattus norvegicus",NA,NA,"BioMart","Marta R. Hidalgo marta.hidalgo@outlook.es","data.frame","Rda","hpAnnot/v1/annofuns_uniprot_rno.rda","pathways, HiPathia, hpAnnot, Signaling, Annotation","annofuns_uniprot_rno.rda"
"annot_GO_hsa.rda","Annotations from genes to GO terms for HSA species",3.7,NA,"RData","https://www.ensembl.org/biomart",NA,"Homo sapiens",NA,NA,"BioMart","Marta R. Hidalgo marta.hidalgo@outlook.es","data.frame","Rda","hpAnnot/v1/annot_GO_hsa.rda","pathways, HiPathia, hpAnnot, Signaling, Annotation","annot_GO_hsa.rda"
"annot_GO_mmu.rda","Annotations from genes to GO terms for MMU species",3.7,NA,"RData","https://www.ensembl.org/biomart",NA,"Mus musculus",NA,NA,"BioMart","Marta R. Hidalgo marta.hidalgo@outlook.es","data.frame","Rda","hpAnnot/v1/annot_GO_mmu.rda","pathways, HiPathia, hpAnnot, Signaling, Annotation","annot_GO_mmu.rda"
"annot_GO_rno.rda","Annotations from genes to GO terms for RNO species",3.7,NA,"RData","https://www.ensembl.org/biomart",NA,"Rattus norvegicus",NA,NA,"BioMart","Marta R. Hidalgo marta.hidalgo@outlook.es","data.frame","Rda","hpAnnot/v1/annot_GO_rno.rda","pathways, HiPathia, hpAnnot, Signaling, Annotation","annot_GO_rno.rda"
"annot_uniprot_hsa.rda","Annotations from genes to Uniprot keywords for HSA species",3.7,NA,"RData","https://www.ensembl.org/biomart",NA,"Homo sapiens",NA,NA,"BioMart","Marta R. Hidalgo marta.hidalgo@outlook.es","data.frame","Rda","hpAnnot/v1/annot_uniprot_hsa.rda","pathways, HiPathia, hpAnnot, Signaling, Annotation","annot_uniprot_hsa.rda"
"annot_uniprot_mmu.rda","Annotations from genes to Uniprot keywords for MMU species",3.7,NA,"RData","https://www.ensembl.org/biomart",NA,"Mus musculus",NA,NA,"BioMart","Marta R. Hidalgo marta.hidalgo@outlook.es","data.frame","Rda","hpAnnot/v1/annot_uniprot_mmu.rda","pathways, HiPathia, hpAnnot, Signaling, Annotation","annot_uniprot_mmu.rda"
"annot_uniprot_rno.rda","Annotations from genes to Uniprot keywords for RNO species",3.7,NA,"RData","https://www.ensembl.org/biomart",NA,"Rattus norvegicus",NA,NA,"BioMart","Marta R. Hidalgo marta.hidalgo@outlook.es","data.frame","Rda","hpAnnot/v1/annot_uniprot_rno.rda","pathways, HiPathia, hpAnnot, Signaling, Annotation","annot_uniprot_rno.rda"
"entrez_hgnc_hsa.rda","Annotations from EntrezID to GeneSymbol for HSA species",3.7,NA,"RData","https://www.ensembl.org/biomart",NA,"Homo sapiens",NA,NA,"BioMart","Marta R. Hidalgo marta.hidalgo@outlook.es","data.frame","Rda","hpAnnot/v1/entrez_hgnc_hsa.rda","pathways, HiPathia, hpAnnot, Signaling, Annotation","entrez_hgnc_hsa.rda"
"entrez_hgnc_mmu.rda","Annotations from EntrezID to GeneSymbol for MMU species",3.7,NA,"RData","https://www.ensembl.org/biomart",NA,"Mus musculus",NA,NA,"BioMart","Marta R. Hidalgo marta.hidalgo@outlook.es","data.frame","Rda","hpAnnot/v1/entrez_hgnc_mmu.rda","pathways, HiPathia, hpAnnot, Signaling, Annotation","entrez_hgnc_mmu.rda"
"entrez_hgnc_rno.rda","Annotations from EntrezID to GeneSymbol for RNO species",3.7,NA,"RData","https://www.ensembl.org/biomart",NA,"Rattus norvegicus",NA,NA,"BioMart","Marta R. Hidalgo marta.hidalgo@outlook.es","data.frame","Rda","hpAnnot/v1/entrez_hgnc_rno.rda","pathways, HiPathia, hpAnnot, Signaling, Annotation","entrez_hgnc_rno.rda"
"go_bp_frame.rda","Annotations for GO Biological Process terms",3.7,NA,"RData","http://www.geneontology.org/",NA,NA,NA,NA,"GeneOntology","Marta R. Hidalgo marta.hidalgo@outlook.es","data.frame","Rda","hpAnnot/v1/go_bp_frame.rda","pathways, HiPathia, hpAnnot, Signaling, Annotation","go_bp_frame.rda"
"go_bp_net.rda","Annotations for GO Biological Process net",3.7,NA,"RData","http://www.geneontology.org/",NA,NA,NA,NA,"GeneOntology","Marta R. Hidalgo marta.hidalgo@outlook.es","igraph","Rda","hpAnnot/v1/go_bp_net.rda","pathways, HiPathia, hpAnnot, Signaling, Annotation","go_bp_net.rda"
"meta_graph_info_hsa.rda","Pathways topologies for HSA species",3.7,NA,"RData","http://www.genome.jp/kegg/",NA,"Homo sapiens",NA,NA,"KEGG","Marta R. Hidalgo marta.hidalgo@outlook.es","list","Rda","hpAnnot/v1/meta_graph_info_hsa.rda","pathways, HiPathia, hpAnnot, Signaling, Annotation","meta_graph_info_hsa.rda"
"meta_graph_info_mmu.rda","Pathways topologies for MMU species",3.7,NA,"RData","http://www.genome.jp/kegg/",NA,"Mus musculus",NA,NA,"KEGG","Marta R. Hidalgo marta.hidalgo@outlook.es","list","Rda","hpAnnot/v1/meta_graph_info_mmu.rda","pathways, HiPathia, hpAnnot, Signaling, Annotation","meta_graph_info_mmu.rda"
"meta_graph_info_rno.rda","Pathways topologies for RNO species",3.7,NA,"RData","http://www.genome.jp/kegg/",NA,"Rattus norvegicus",NA,NA,"KEGG","Marta R. Hidalgo marta.hidalgo@outlook.es","list","Rda","hpAnnot/v1/meta_graph_info_rno.rda","pathways, HiPathia, hpAnnot, Signaling, Annotation","meta_graph_info_rno.rda"
"pmgi_hsa_genes.rda","Pseudo-pathways topologies grouped by genes for HSA species",3.7,NA,"RData","http://www.genome.jp/kegg/",NA,"Homo sapiens",NA,NA,"KEGG","Marta R. Hidalgo marta.hidalgo@outlook.es","list","Rda","hpAnnot/v1/pmgi_hsa_genes.rda","pathways, HiPathia, hpAnnot, Signaling, Annotation","pmgi_hsa_genes.rda"
"pmgi_hsa_GO.rda","Pseudo-pathways topologies grouped by GO terms for HSA species",3.7,NA,"RData","http://www.genome.jp/kegg/",NA,"Homo sapiens",NA,NA,"KEGG","Marta R. Hidalgo marta.hidalgo@outlook.es","list","Rda","hpAnnot/v1/pmgi_hsa_GO.rda","pathways, HiPathia, hpAnnot, Signaling, Annotation","pmgi_hsa_GO.rda"
