"Title","Description","BiocVersion","Genome","SourceType","SourceUrl","SourceVersion","Species","TaxonomyId","Coordinate_1_based","DataProvider","Maintainer","RDataClass","DispatchClass","RDataPath","Tags","ResourceName"
"annofuns_GO_hsa_v3.rda","Annotations from pathways to GO terms for HSA species",3.22,NA,"RData","https://www.ensembl.org/biomart",NA,"Homo sapiens",NA,NA,"BioMart","Marta R. Hidalgo marta.hidalgo@outlook.es","data.frame","Rda","hpAnnot/v3/annofuns_GO_hsa_v3.rda","pathways, HiPathia, hpAnnot, Signaling, Annotation","annofuns_GO_hsa_v3.rda"
"annofuns_GO_mmu_v3.rda","Annotations from pathways to GO terms for MMU species",3.22,NA,"RData","https://www.ensembl.org/biomart",NA,"Mus musculus",NA,NA,"BioMart","Marta R. Hidalgo marta.hidalgo@outlook.es","data.frame","Rda","hpAnnot/v3/annofuns_GO_mmu_v3.rda","pathways, HiPathia, hpAnnot, Signaling, Annotation","annofuns_GO_mmu_v3.rda"
"annofuns_GO_rno_v3.rda","Annotations from pathways to GO terms for RNO species",3.22,NA,"RData","https://www.ensembl.org/biomart",NA,"Rattus norvegicus",NA,NA,"BioMart","Marta R. Hidalgo marta.hidalgo@outlook.es","data.frame","Rda","hpAnnot/v3/annofuns_GO_rno_v3.rda","pathways, HiPathia, hpAnnot, Signaling, Annotation","annofuns_GO_rno_v3.rda"
"annofuns_uniprot_hsa_v3.rda","Annotations from pathways to Uniprot keywords for HSA species",3.22,NA,"RData","https://www.ensembl.org/biomart",NA,"Homo sapiens",NA,NA,"BioMart","Marta R. Hidalgo marta.hidalgo@outlook.es","data.frame","Rda","hpAnnot/v3/annofuns_uniprot_hsa_v3.rda","pathways, HiPathia, hpAnnot, Signaling, Annotation","annofuns_uniprot_hsa_v3.rda"
"annofuns_uniprot_mmu_v3.rda","Annotations from pathways to Uniprot keywords for MMU species",3.22,NA,"RData","https://www.ensembl.org/biomart",NA,"Mus musculus",NA,NA,"BioMart","Marta R. Hidalgo marta.hidalgo@outlook.es","data.frame","Rda","hpAnnot/v3/annofuns_uniprot_mmu_v3.rda","pathways, HiPathia, hpAnnot, Signaling, Annotation","annofuns_uniprot_mmu_v3.rda"
"annofuns_uniprot_rno_v3.rda","Annotations from pathways to Uniprot keywords for RNO species",3.22,NA,"RData","https://www.ensembl.org/biomart",NA,"Rattus norvegicus",NA,NA,"BioMart","Marta R. Hidalgo marta.hidalgo@outlook.es","data.frame","Rda","hpAnnot/v3/annofuns_uniprot_rno_v3.rda","pathways, HiPathia, hpAnnot, Signaling, Annotation","annofuns_uniprot_rno_v3.rda"
"annot_GO_hsa_v3.rda","Annotations from genes to GO terms for HSA species",3.22,NA,"RData","https://www.ensembl.org/biomart",NA,"Homo sapiens",NA,NA,"BioMart","Marta R. Hidalgo marta.hidalgo@outlook.es","data.frame","Rda","hpAnnot/v3/annot_GO_hsa_v3.rda","pathways, HiPathia, hpAnnot, Signaling, Annotation","annot_GO_hsa_v3.rda"
"annot_GO_mmu_v3.rda","Annotations from genes to GO terms for MMU species",3.22,NA,"RData","https://www.ensembl.org/biomart",NA,"Mus musculus",NA,NA,"BioMart","Marta R. Hidalgo marta.hidalgo@outlook.es","data.frame","Rda","hpAnnot/v3/annot_GO_mmu_v3.rda","pathways, HiPathia, hpAnnot, Signaling, Annotation","annot_GO_mmu_v3.rda"
"annot_GO_rno_v3.rda","Annotations from genes to GO terms for RNO species",3.22,NA,"RData","https://www.ensembl.org/biomart",NA,"Rattus norvegicus",NA,NA,"BioMart","Marta R. Hidalgo marta.hidalgo@outlook.es","data.frame","Rda","hpAnnot/v3/annot_GO_rno_v3.rda","pathways, HiPathia, hpAnnot, Signaling, Annotation","annot_GO_rno_v3.rda"
"annot_uniprot_hsa_v3.rda","Annotations from genes to Uniprot keywords for HSA species",3.22,NA,"RData","https://www.ensembl.org/biomart",NA,"Homo sapiens",NA,NA,"BioMart","Marta R. Hidalgo marta.hidalgo@outlook.es","data.frame","Rda","hpAnnot/v3/annot_uniprot_hsa_v3.rda","pathways, HiPathia, hpAnnot, Signaling, Annotation","annot_uniprot_hsa_v3.rda"
